Repository;Datum;Views;Clones;Unique Views;Unique Clones
Data_Science_Challenge_2020_Betrugserkennung;2026-05-31;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-05-30;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-05-29;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-05-28;0;0;0;0
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-06-10;0;0;0;0
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-06-09;0;1;0;1
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-06-08;0;0;0;0
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-06-07;0;0;0;0
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-06-06;0;0;0;0
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-06-05;0;1;0;1
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-06-04;0;0;0;0
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-06-03;0;1;0;1
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-06-02;0;0;0;0
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-06-01;0;0;0;0
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-05-31;0;0;0;0
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-05-30;5;0;1;0
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-05-29;0;0;0;0
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-05-28;0;0;0;0
Deriving-NHANES-data-set-CDC-for-mortality-analysis;2026-06-10;0;1;0;1
Deriving-NHANES-data-set-CDC-for-mortality-analysis;2026-06-09;0;0;0;0
Deriving-NHANES-data-set-CDC-for-mortality-analysis;2026-06-08;0;0;0;0
Deriving-NHANES-data-set-CDC-for-mortality-analysis;2026-06-07;0;0;0;0
Deriving-NHANES-data-set-CDC-for-mortality-analysis;2026-06-06;1;0;1;0
Deriving-NHANES-data-set-CDC-for-mortality-analysis;2026-06-05;0;0;0;0
Deriving-NHANES-data-set-CDC-for-mortality-analysis;2026-06-04;0;0;0;0
Deriving-NHANES-data-set-CDC-for-mortality-analysis;2026-06-03;0;1;0;1
Deriving-NHANES-data-set-CDC-for-mortality-analysis;2026-06-02;0;0;0;0
Deriving-NHANES-data-set-CDC-for-mortality-analysis;2026-06-01;0;0;0;0
Deriving-NHANES-data-set-CDC-for-mortality-analysis;2026-05-31;0;0;0;0
Deriving-NHANES-data-set-CDC-for-mortality-analysis;2026-05-30;1;0;1;0
Deriving-NHANES-data-set-CDC-for-mortality-analysis;2026-05-29;0;0;0;0
Deriving-NHANES-data-set-CDC-for-mortality-analysis;2026-05-28;0;0;0;0
GenAI_Beyond_the_Basics;2026-06-10;0;1;0;1
GenAI_Beyond_the_Basics;2026-06-09;1;0;1;0
GenAI_Beyond_the_Basics;2026-06-08;0;0;0;0
GenAI_Beyond_the_Basics;2026-06-07;1;0;1;0
GenAI_Beyond_the_Basics;2026-06-06;2;1;2;1
GenAI_Beyond_the_Basics;2026-06-05;4;0;2;0
GenAI_Beyond_the_Basics;2026-06-04;2;0;1;0
GenAI_Beyond_the_Basics;2026-06-03;7;0;6;0
GenAI_Beyond_the_Basics;2026-06-02;0;0;0;0
GenAI_Beyond_the_Basics;2026-06-01;0;1;0;1
GenAI_Beyond_the_Basics;2026-05-31;1;0;1;0
GenAI_Beyond_the_Basics;2026-05-30;6;0;1;0
GenAI_Beyond_the_Basics;2026-05-29;2;0;2;0
GenAI_Beyond_the_Basics;2026-05-28;0;1;0;1
Impact_of_the_COVID-19_Pandemic;2026-06-10;0;0;0;0
Impact_of_the_COVID-19_Pandemic;2026-06-09;0;0;0;0
Impact_of_the_COVID-19_Pandemic;2026-06-08;0;0;0;0
Impact_of_the_COVID-19_Pandemic;2026-06-07;0;0;0;0
Impact_of_the_COVID-19_Pandemic;2026-06-06;0;0;0;0
Impact_of_the_COVID-19_Pandemic;2026-06-05;0;0;0;0
Impact_of_the_COVID-19_Pandemic;2026-06-04;0;0;0;0
Impact_of_the_COVID-19_Pandemic;2026-06-03;0;1;0;1
Impact_of_the_COVID-19_Pandemic;2026-06-02;0;0;0;0
Impact_of_the_COVID-19_Pandemic;2026-06-01;0;0;0;0
Impact_of_the_COVID-19_Pandemic;2026-05-31;0;0;0;0
Impact_of_the_COVID-19_Pandemic;2026-05-30;0;0;0;0
Impact_of_the_COVID-19_Pandemic;2026-05-29;0;0;0;0
Impact_of_the_COVID-19_Pandemic;2026-05-28;0;0;0;0
Mortality_Modeling;2026-06-10;0;0;0;0
Mortality_Modeling;2026-06-09;0;1;0;1
Mortality_Modeling;2026-06-08;0;0;0;0
Mortality_Modeling;2026-06-07;0;1;0;1
Mortality_Modeling;2026-06-06;1;0;1;0
Mortality_Modeling;2026-06-05;0;0;0;0
Mortality_Modeling;2026-06-04;0;0;0;0
Mortality_Modeling;2026-06-03;2;1;1;1
Mortality_Modeling;2026-06-02;0;0;0;0
Mortality_Modeling;2026-06-01;1;0;1;0
Mortality_Modeling;2026-05-31;0;0;0;0
Mortality_Modeling;2026-05-30;0;0;0;0
Mortality_Modeling;2026-05-29;1;0;1;0
Mortality_Modeling;2026-05-28;0;0;0;0
Python_fuer_Aktuare;2026-06-10;0;1;0;1
Python_fuer_Aktuare;2026-06-09;4;0;2;0
Python_fuer_Aktuare;2026-06-08;1;0;1;0
Python_fuer_Aktuare;2026-06-07;2;1;1;1
Python_fuer_Aktuare;2026-06-06;5;1;2;1
Python_fuer_Aktuare;2026-06-05;2;0;2;0
Python_fuer_Aktuare;2026-06-04;0;2;0;1
Python_fuer_Aktuare;2026-06-03;0;2;0;2
Python_fuer_Aktuare;2026-06-02;5;0;3;0
Python_fuer_Aktuare;2026-06-01;6;0;1;0
Python_fuer_Aktuare;2026-05-31;2;0;2;0
Python_fuer_Aktuare;2026-05-30;5;1;2;1
Python_fuer_Aktuare;2026-05-29;1;0;1;0
Python_fuer_Aktuare;2026-05-28;2;0;1;0
Use-Case-zur-Modellierung-von-Cyberrisiken;2026-06-10;0;0;0;0
Use-Case-zur-Modellierung-von-Cyberrisiken;2026-06-09;0;0;0;0
Use-Case-zur-Modellierung-von-Cyberrisiken;2026-06-08;0;0;0;0
Use-Case-zur-Modellierung-von-Cyberrisiken;2026-06-07;0;1;0;1
Use-Case-zur-Modellierung-von-Cyberrisiken;2026-06-06;0;0;0;0
Use-Case-zur-Modellierung-von-Cyberrisiken;2026-06-05;0;0;0;0
Use-Case-zur-Modellierung-von-Cyberrisiken;2026-06-04;0;0;0;0
Use-Case-zur-Modellierung-von-Cyberrisiken;2026-06-03;0;1;0;1
Use-Case-zur-Modellierung-von-Cyberrisiken;2026-06-02;0;0;0;0
Use-Case-zur-Modellierung-von-Cyberrisiken;2026-06-01;0;0;0;0
Use-Case-zur-Modellierung-von-Cyberrisiken;2026-05-31;3;0;3;0
Use-Case-zur-Modellierung-von-Cyberrisiken;2026-05-30;3;0;1;0
